Datum	11.05.12	
Probenkennz.	PBT wei§	
Geschwindigkeit	20	mm/min
Kraftmaximum	2359,41	N
Probenhšhe a0	3,95	mm
Probenbreite b0	10,4	mm
LŠnge l0	70	mm
Probenhšhe aU NACH ZUGVERSUCH	3,27	mm
Probenbreite bU NACH ZUGVERSUCH	8,55	mm
LŠnge lU NACH ZUGVERSUCH	76,4	mm
Standardweg	Standardkraft	
mm	N	
10,2862	2281,27	
10,2996	2281,1	
10,3138	2280,84	
10,3263	2280,61	
10,3396	2280,48	
10,3529	2280,31	
10,3662	2280,05	
10,3795	2279,88	
10,3929	2279,72	
10,4063	2279,55	
10,4196	2279,42	
10,4329	2279,19	
10,4471	2278,99	
10,4596	2278,8	
10,4729	2278,57	
10,4862	2278,34	
10,4996	2278,1	
10,5129	2277,91	
10,5263	2277,71	
10,5396	2277,58	
10,5529	2277,41	
10,5662	2277,12	
10,5796	2276,95	
10,5996	2276,56	
10,6129	2276,29	
10,6263	2275,96	
10,6396	2275,73	
10,6529	2275,5	
10,6662	2275,34	
10,6796	2275,14	
10,6929	2274,94	
10,7072	2274,68	
10,7196	2274,45	
10,7329	2274,31	
10,7462	2274,02	
10,7595	2273,72	
10,7729	2273,49	
10,7862	2273,29	
10,7996	2273,03	
10,8129	2272,86	
10,8262	2272,63	
10,8404	2272,37	
10,8529	2272,14	
10,8663	2271,97	
10,8796	2271,81	
10,8929	2271,61	
10,9063	2271,32	
10,9196	2271,05	
10,9329	2270,79	
10,9462	2270,56	
10,9596	2270,16	
10,9729	2269,9	
10,9862	2269,6	
10,9996	2269,34	
11,0129	2269,14	
11,0262	2268,91	
11,0395	2268,71	
11,0529	2268,55	
11,0663	2268,32	
11,0796	2268,02	
11,093	2267,69	
11,1071	2267,36	
11,1196	2267,16	
11,1329	2266,9	
11,1463	2266,64	
11,1596	2266,24	
11,1729	2266,01	
11,1863	2265,78	
11,1996	2265,55	
11,2129	2265,28	
11,227	2265,02	
11,2396	2264,76	
11,2529	2264,46	
11,2662	2264,13	
11,2796	2263,87	
11,293	2263,5	
11,3063	2263,17	
11,3196	2262,84	
11,333	2262,52	
11,3463	2262,22	
11,3604	2261,99	
11,3729	2261,79	
11,3863	2261,49	
11,3996	2261,2	
11,4128	2260,93	
11,4263	2260,6	
11,4396	2260,31	
11,4529	2259,98	
11,4662	2259,71	
11,4796	2259,29	
11,4929	2258,92	
11,5129	2258,49	
11,5263	2258,23	
11,5396	2257,8	
11,5529	2257,54	
11,5663	2257,34	
11,5796	2257,11	
11,5929	2256,68	
11,6062	2256,42	
11,6196	2256,15	
11,6329	2255,92	
11,6529	2255,46	
11,6662	2255,1	
11,6796	2254,84	
11,6929	2254,51	
11,7063	2254,21	
11,7196	2253,85	
11,7329	2253,52	
11,7463	2253,32	
11,7604	2253,02	
11,7729	2252,73	
11,7862	2252,36	
11,7995	2252,07	
11,8129	2251,71	
